"","biol.endpoints","flow.endpoints","direction","AIC","PValue","McFaddensR2","n"
"1","ASCI","DS_Mag_50","negative",67.3528131089875,0.696253928642169,0.00247610736441484,47
"2","CSCI","DS_Mag_50","negative",135.640165895222,0.00564225791138072,0.0680020367217827,101
"3","ASCI","FA_Mag","negative",35.8722094303095,0.481485991004032,0.0175151195665437,35
"4","CSCI","FA_Mag","negative",93.4344757996428,0.0202657777029742,0.122887144541756,75
"5","ASCI","Peak_10","negative",229.760912561801,0.111426062994165,0.0150038511106293,221
"6","CSCI","Peak_10","negative",576.177813910609,9.61417535607201e-07,0.0729648620189675,474
"7","ASCI","Peak_2","negative",360.504197620165,0.0135537742089207,0.0345114634860409,294
"8","CSCI","Peak_2","negative",864.505085740263,5.19264254883398e-07,0.0468769326711035,651
"9","ASCI","Peak_5","negative",243.922799640723,0.0881995752473643,0.0192867590209688,218
"10","CSCI","Peak_5","negative",642.28752861622,8.46468472551011e-06,0.0510263131405567,502
"11","ASCI","SP_Mag","negative",52.3426446868151,0.413047134280397,0.0159668127516116,47
"12","CSCI","SP_Mag","negative",94.7606726861278,0.0310316329395051,0.121790043087773,95
"13","ASCI","Wet_BFL_Mag_10","negative",129.96126200989,0.523958577160719,0.00353227741861784,116
"14","CSCI","Wet_BFL_Mag_10","negative",306.857009032219,7.50740482803632e-05,0.0844561640173748,245
"15","ASCI","Wet_BFL_Mag_50","negative",119.173906947035,0.850714830469513,0.000314212425927218,100
"16","CSCI","Wet_BFL_Mag_50","negative",285.835391988935,0.107740216802554,0.0127781234901746,217
"17","ASCI","Q99","negative",399.54066873527,0.250463377775446,0.00491731872007772,319
"18","CSCI","Q99","negative",888.644846681105,5.18571066515904e-08,0.0535236596695419,678
"19","ASCI","DS_Mag_50","positive",394.964651617063,0.00302265082567273,0.0351625512668596,337
"20","CSCI","DS_Mag_50","positive",867.181987549518,7.7186687056695e-14,0.12351684239783,726
"21","ASCI","FA_Mag","positive",430.695736002854,0.0194932520785284,0.017208833470911,349
"22","CSCI","FA_Mag","positive",896.782705167765,1.71005823804548e-11,0.131573078231927,752
"23","ASCI","Peak_10","positive",226.372738139983,0.67796787229877,0.00078881541810305,163
"24","CSCI","Peak_10","positive",475.28377189651,0.000101898327086921,0.0385777881236546,353
"25","ASCI","Peak_2","positive",99.7021237195064,0.106414676212157,0.0265979037344095,90
"26","CSCI","Peak_2","positive",190.352641543852,0.57802982669562,0.00173850004632992,176
"27","ASCI","Peak_5","positive",223.118992726382,0.732827723086315,0.000525653488630429,166
"28","CSCI","Peak_5","positive",438.965778479559,0.00052164772558963,0.0362589488350096,325
"29","ASCI","SP_Mag","positive",421.949500794034,0.368493084530123,0.00218193231249819,337
"30","CSCI","SP_Mag","positive",983.8886834273,1.31618702888996e-05,0.0287280316889748,732
"31","ASCI","Wet_BFL_Mag_10","positive",341.483797494771,0.14187608594084,0.00765602949296884,268
"32","CSCI","Wet_BFL_Mag_10","positive",760.177174962995,9.08914148855309e-08,0.0530437686012014,582
"33","ASCI","Wet_BFL_Mag_50","positive",357.325637619744,0.460562169807466,0.00168109706428865,284
"34","CSCI","Wet_BFL_Mag_50","positive",818.716456192156,2.6707213283393e-05,0.0302124355377112,610
"35","ASCI","Q99","positive",67.850212702995,0.017878339259389,0.0974814676788112,65
"36","CSCI","Q99","positive",188.823316533299,0.755183833479543,0.000535123193730502,149
