"","var","rel.inf","Flow.Metric.Name","hydro.endpoints","Flow.Component"
"1","DS_Mag_50",17.4071245985055,"Dry-season median baseflow","DS_Mag_50","Dry-season baseflow"
"2","Peak_10",12.7003218068433,"10-year flood magnitude","Peak_10","Peak flow"
"3","Wet_BFL_Mag_50",12.2081485747142,"Wet-season median baseflow","Wet_BFL_Mag_50","Wet-season baseflow"
"4","Peak_5",11.9765063209712,"5-year flood magnitude","Peak_5","Peak flow"
"5","Q99",11.5734304776002,"Magnitude of largest annual storm","Q99","Peak flow"
"6","Wet_BFL_Mag_10",9.92566846086629,"Wet-season low baseflow","Wet_BFL_Mag_10","Wet-season baseflow"
"7","SP_Mag",9.56277636843313,"Spring recession magnitude","SP_Mag","Spring recession flow"
"8","Peak_2",9.14877970129762,"2-year flood magnitude","Peak_2","Peak flow"
"9","FA_Mag",5.49724369076863,"Fall pulse magnitude","FA_Mag","Fall pulse flow"
